Title,Company,Salary Range,Fit Score,Location,Resume Link,Cover Letter Link,Job Link
Supply Chain Data Analyst,Nextpower,Not Disclosed,87%,"Hyderabad, Telangana, India (Tier 2 (Bangalore / Hyderabad / Pune))",https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Nextpower_Supply_Chain_Da_20260831_053230.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Nextpower_Supply_Chain_Da_20260831_053230.pdf,https://www.linkedin.com/jobs/view/4414716163
APS Production Engineer - Data Analyst,BNP Paribas,Not Disclosed,88%,"Bengaluru, Karnataka, India (Tier 2 (Bangalore / Hyderabad / Pune))",https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_BNP_Paribas_APS_Production__20260831_053231.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_BNP_Paribas_APS_Production__20260831_053231.pdf,https://www.linkedin.com/jobs/view/4422952343
Data Analyst Mentor (Freelance),Irohub Infotech,Not Disclosed,78%,"Remote, IN (Tier 1 (Delhi-NCR / Remote))",https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Irohub_Infotech_Data_Analyst_Me_20260831_085352.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Irohub_Infotech_Data_Analyst_Me_20260831_085352.pdf,https://in.indeed.com/viewjob?jk=5059e3801f2de483
Senior Fixed Income Integration Business Analyst,Luxoft,Not Disclosed,80%,"Remote, IN (Tier 1 (Delhi-NCR / Remote))",https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Luxoft_Senior_Fixed_In_20260831_085425.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Luxoft_Senior_Fixed_In_20260831_085425.pdf,https://in.indeed.com/viewjob?jk=87719f4654a52c68
Business Analyst,Deloitte,Not Disclosed,93%,"Gurugram, Haryana, India (Tier 1 (Delhi-NCR / Remote))",https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Deloitte_Business_Analys_20260831_085522.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Deloitte_Business_Analys_20260831_085522.pdf,https://www.linkedin.com/jobs/view/4446601300
Business Analyst,HYrEzy Tech Solutions,Not Disclosed,93%,"Bengaluru, Karnataka, India (Tier 2 (Bangalore / Hyderabad / Pune))",https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_HYrEzy_Tech_Sol_Business_Analys_20260831_090349.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_HYrEzy_Tech_Sol_Business_Analys_20260831_090349.pdf,https://www.linkedin.com/jobs/view/4459762701
Product Analyst,SourcingXPress,Not Disclosed,92%,"Hyderabad, Telangana, India (Tier 2 (Bangalore / Hyderabad / Pune))",https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_SourcingXPress_Product_Analyst_20260831_090501.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_SourcingXPress_Product_Analyst_20260831_090501.pdf,https://www.linkedin.com/jobs/view/4459699805
Power BI developer,Antal International,Not Disclosed,92%,"Hyderabad, Telangana, India (Tier 2 (Bangalore / Hyderabad / Pune))",https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Antal_Internati_Power_BI_develo_20260831_090553.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Antal_Internati_Power_BI_develo_20260831_090553.pdf,https://www.linkedin.com/jobs/view/4451664583
Power BI Developer Profile,emagine,Not Disclosed,92%,"Bengaluru, Karnataka, India (Tier 2 (Bangalore / Hyderabad / Pune))",https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_emagine_Power_BI_Develo_20260831_090617.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_emagine_Power_BI_Develo_20260831_090617.pdf,https://www.linkedin.com/jobs/view/4459770823
Business Analyst,HYrEzy Tech Solutions,Not Disclosed,92%,"Hyderabad, Telangana, India (Tier 2 (Bangalore / Hyderabad / Pune))",https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_HYrEzy_Tech_Sol_Business_Analys_20260831_090705.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_HYrEzy_Tech_Sol_Business_Analys_20260831_090705.pdf,https://www.linkedin.com/jobs/view/4459770657
Business Analyst,iQuanta,₹12 - ₹16 LPA (Est.),88%,"Gurugram, Haryana, India (Tier 1 (Delhi-NCR / Remote))",https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_iQuanta_Business_Analys_20260831_091743.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_iQuanta_Business_Analys_20260831_091743.pdf,https://www.linkedin.com/jobs/view/4459776213
Data Analyst - Myworkdayjobs.com,Ameriprise,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Ameriprise_Data_Analyst____20260831_091744.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Ameriprise_Data_Analyst____20260831_091744.pdf,https://ameriprise.wd5.myworkdayjobs.com/en-US/Ameriprise/job/Gurugram-Haryana-India/Data-Analyst_R26_2684
Business Analyst - India - Myworkdayjobs.com,Worldwide,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Worldwide_Business_Analys_20260831_091744.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Worldwide_Business_Analys_20260831_091744.pdf,https://worldwide.wd1.myworkdayjobs.com/External/job/Trivandrum/Business-Analyst---India_JR102765
Manager Business Analyst - Myworkdayjobs.com,Fil,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Fil_Manager_Busines_20260831_091745.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Fil_Manager_Busines_20260831_091745.pdf,https://fil.wd3.myworkdayjobs.com/it-IT/001/job/Gurgaon-Office/Manager-Business-Analyst_J69083-1
Senior Business Analyst - Careers - Myworkdayjobs.com,Quantiphi,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Quantiphi_Senior_Business_20260831_091746.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Quantiphi_Senior_Business_20260831_091746.pdf,https://quantiphi.wd1.myworkdayjobs.com/en-US/Careers_at_Quantiphi/job/Senior-Business-Analyst_JR10303
Senior Financial Data Analyst - Myworkdayjobs.com,Simcorp,₹12 - ₹16 LPA (Est.),88%,Delhi NCR / Remote / Bangalore (Tier 1 (Delhi-NCR / Remote)),https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/Resume_Simcorp_Senior_Financia_20260831_091746.pdf,https://raw.githubusercontent.com/Pokedash01/job-hunter/main/generated_docs/CoverLetter_Simcorp_Senior_Financia_20260831_091746.pdf,https://simcorp.wd3.myworkdayjobs.com/SimCorp_Jobs/job/Noida/Senior-Financial-Data-Analyst_R-212208?source=website
